emotion,title,message
焦慮,專注當下，不讓未來偷走你的平靜。,嘗試五感練習：觀察你當下看到、聽到的五件事。
焦慮,心亂時，先讓呼吸帶你回家。,進行 4-7-8 深呼吸法，幫助神經放鬆。
焦慮,不是你做不好，而是你太想一次就好。,把任務拆成三小步，從第一步開始就好。
悲傷,眼淚是靈魂的語言，允許它流動。,聽一首能代表你心情的歌，靜靜感受自己。
悲傷,每一段低谷，都是蛻變的暗處。,寫下你正在經歷的事，對自己說聲辛苦了。
悲傷,悲傷並不脆弱，而是一種深刻的愛。,給過去的自己寫一封信，擁抱那些傷痛。
憤怒,你的情緒是訊號，提醒你需要被尊重。,嘗試用「我感覺……因為……」的句型寫下感受。
憤怒,生氣背後，是希望被理解的渴望。,先離開現場冷靜五分鐘，再處理衝突。
憤怒,你有權利不接受讓你不舒服的事。,寫下三個你希望建立的界線，開始練習說出來。
無力,沒做完不是失敗，是你累了。,列出今天已經做到的三件小事。
無力,能起床，就是一種勝利。,早上起來，做一件你喜歡的小事當作開始。
無力,你不是不夠好，只是太久沒被照顧。,今天為自己準備一餐溫暖的食物。
恐懼,害怕代表你在靠近重要的東西。,寫下你害怕的事，再寫下最壞情況與應對方式。
恐懼,恐懼是成長前的門檻。,選一件你遲疑的事，嘗試踏出一小步。
恐懼,你可以害怕，但也能同時勇敢。,找一位你信任的人談談內心的害怕。
自責,錯誤是提醒，不是定罪。,寫下一次犯錯經驗，你從中學到了什麼？
自責,你已經在試著變好，這很值得被肯定。,對鏡子說：我已經做得很好。
自責,原諒自己是走向自由的第一步。,寫下一句你想對自己說的寬恕話語。
壓力,你不是機器，也需要休息。,設定 25 分鐘工作、5 分鐘休息的循環節奏。
壓力,壓力是你對事情的重視。,把壓力事件列出，用高低重要度做排序。
壓力,放下不是放棄，是選擇不再壓垮自己。,寫下一件你今天可以不做的事。
孤單,孤單時，也是一種與自己的相處。,今天花時間和自己約會，散步或泡澡也可以。
孤單,沒人懂你時，請你先懂你自己。,寫下你最喜歡自己哪個部分。
孤單,你值得連結，不需要獨自承擔。,傳訊給一位你想念的人，說聲你好。
嫉妒,你羨慕的，是你內心渴望的。,觀察羨慕對象的特質，想想你如何靠近那樣的自己。
嫉妒,比較會偷走快樂，記得回到自己。,寫下你最近為自己做到的一件事。
嫉妒,你的價值，不需用別人的成功來定義。,列出你已有的三個值得感謝的事物。
迷失,迷路也是旅程的一部分。,問自己：什麼事讓我感覺有意義？
迷失,每次感到迷惘，都是更認識自己的機會。,試著寫日記，記錄最近的想法與感受。
迷失,人生不需要馬上找到答案。,允許自己短暫停下，不做決定也沒關係。
快樂,記住今天的這份喜悅，它會成為你未來的光。,拿紙寫下今天開心的瞬間，收進『心情瓶』保存起來。
快樂,笑容是靈魂的光芒，請讓它繼續閃耀。,找一件讓你快樂的小事，再做一次慶祝它。
快樂,這一刻的你，值得好好擁抱幸福。,拍下今天的笑臉，當作日後回憶的紀念。
自信,你真的做到了，而且比你想像的更好。,寫下三件你最近完成的事，提醒自己有多棒。
自信,你的努力正在發光，請繼續前行。,對鏡子說：我值得這一切，我有能力做到。
自信,每一次勇敢，都是你養成自信的證明。,回顧一次你曾害怕卻完成的事情，鼓勵自己。
平靜,這份安穩，是你給自己的禮物。,今天花 15 分鐘聽輕音樂或冥想，延續這份平靜。
平靜,寧靜的心，就是最好的力量。,到戶外走走，與自然相處 10 分鐘。
平靜,當你心靜下來，世界也會跟著柔和。,泡一杯熱茶，靜靜與自己相處片刻。
被愛,你值得被愛，不需要證明。,傳一則訊息給一位你在乎的人，說聲謝謝或我想你。
被愛,你的存在，就是愛的證明。,列出三個愛你的人，感受他們的溫暖。
被愛,愛，不用多，只要剛剛好。,擁抱家人或寵物，讓愛自然流動。
幸福,幸福就是現在這一刻你在感受的。,深呼吸三次，對自己說：我正在擁有幸福。
幸福,你擁有的比你以為的還多。,寫下今天讓你微笑的五件小事。
幸福,幸福的事，要常常記得。,和朋友分享今天的好心情，一起加倍幸福。
成就感,你一步步來到這裡，每一步都很值得。,列一張清單記錄你今天完成的任務，塗掉它們。
成就感,你的努力被看見，也值得被肯定。,為自己準備一份小小的獎勵。
成就感,進步的你，值得驕傲與感謝。,寫一封信感謝努力的自己，保存起來。
